pair_stem,base,next,origin,docx_source_base,docx_source_next,redline_docx,redline_docx_word,accepted_docx,pdf_redline,pdf_accepted,missing
file_1_file_2,file_1,file_2,randomized_chain,file_1.docx,file_2.docx,file_1_file_2_redline.docx,,MISSING,file_1_file_2_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_2_file_3,file_2,file_3,randomized_chain,file_2.docx,file_3.docx,file_2_file_3_redline.docx,,MISSING,file_2_file_3_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_3_file_4,file_3,file_4,randomized_chain,file_3.docx,file_4.docx,file_3_file_4_redline.docx,,MISSING,file_3_file_4_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_4_file_5,file_4,file_5,randomized_chain,file_4.docx,file_5.docx,file_4_file_5_redline.docx,,MISSING,file_4_file_5_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_5_file_6,file_5,file_6,randomized_chain,file_5.docx,file_6.docx,file_5_file_6_redline.docx,,MISSING,file_5_file_6_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_6_file_7,file_6,file_7,randomized_chain,file_6.docx,file_7.docx,file_6_file_7_redline.docx,,MISSING,file_6_file_7_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_7_file_8,file_7,file_8,randomized_chain,file_7.docx,file_8.docx,file_7_file_8_redline.docx,,MISSING,file_7_file_8_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_8_file_9,file_8,file_9,randomized_chain,file_8.docx,file_9.docx,file_8_file_9_redline.docx,,MISSING,file_8_file_9_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_9_file_10,file_9,file_10,randomized_chain,file_9.docx,file_10.docx,file_9_file_10_redline.docx,,MISSING,file_9_file_10_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_10_file_11,file_10,file_11,randomized_chain,file_10.docx,file_11.docx,file_10_file_11_redline.docx,,MISSING,file_10_file_11_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_11_file_12,file_11,file_12,randomized_chain,file_11.docx,file_12.docx,file_11_file_12_redline.docx,,MISSING,file_11_file_12_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_12_file_13,file_12,file_13,randomized_chain,file_12.docx,file_13.docx,file_12_file_13_redline.docx,,MISSING,file_12_file_13_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_13_file_14,file_13,file_14,randomized_chain,file_13.docx,file_14.docx,file_13_file_14_redline.docx,,MISSING,file_13_file_14_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_14_file_15,file_14,file_15,randomized_chain,file_14.docx,file_15.docx,file_14_file_15_redline.docx,,MISSING,file_14_file_15_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_15_file_16,file_15,file_16,randomized_chain,file_15.docx,file_16.docx,file_15_file_16_redline.docx,,MISSING,file_15_file_16_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_16_file_17,file_16,file_17,randomized_chain,file_16.docx,file_17.docx,file_16_file_17_redline.docx,,MISSING,file_16_file_17_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_17_file_18,file_17,file_18,randomized_chain,file_17.docx,file_18.docx,file_17_file_18_redline.docx,,MISSING,file_17_file_18_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_18_file_19,file_18,file_19,randomized_chain,file_18.docx,file_19.docx,file_18_file_19_redline.docx,,MISSING,file_18_file_19_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_19_file_20,file_19,file_20,randomized_chain,file_19.docx,file_20.docx,file_19_file_20_redline.docx,,MISSING,file_19_file_20_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_20_file_21,file_20,file_21,randomized_chain,file_20.docx,file_21.docx,file_20_file_21_redline.docx,,MISSING,file_20_file_21_redline.pdf,MISSING,accepted_docx; pdf_accepted
file_21_file_22,file_21,file_22,randomized_chain,file_21.docx,file_22.docx,file_21_file_22_redline.docx,,MISSING,file_21_file_22_redline.pdf,MISSING,accepted_docx; pdf_accepted
