pair_stem,base,next,origin,docx_source_base,docx_source_next,redline_docx,redline_docx_word,accepted_docx,pdf_redline,pdf_accepted,missing
1_5_line_spacing_id_paraid_overflow_24_id_paraid_overflow,1_5_line_spacing_id_paraid_overflow,24_id_paraid_overflow,both,1_5_line_spacing_id_paraid_overflow.docx,24_id_paraid_overflow.docx,1_5_line_spacing_id_paraid_overflow_24_id_paraid_overflow_redline.docx,,1_5_line_spacing_id_paraid_overflow_24_id_paraid_overflow_redline.docx,1_5_line_spacing_id_paraid_overflow_24_id_paraid_overflow_redline.pdf,1_5_line_spacing_id_paraid_overflow_24_id_paraid_overflow_word_redline_accepted.pdf,
24_id_paraid_overflow_alternate_content,24_id_paraid_overflow,alternate_content,both,24_id_paraid_overflow.docx,alternate_content.docx,,24_id_paraid_overflow_alternate_content_word_redline.docx,24_id_paraid_overflow_alternate_content_word_redline.docx,24_id_paraid_overflow_alternate_content_word_redline.pdf,24_id_paraid_overflow_alternate_content_word_redline_accepted.pdf,
24_id_paraid_overflow_blue_bold_centered_demo_id_paraid_overflow,24_id_paraid_overflow,blue_bold_centered_demo_id_paraid_overflow,both,24_id_paraid_overflow.docx,blue_bold_centered_demo_id_paraid_overflow.docx,24_id_paraid_overflow_blue_bold_centered_demo_id_paraid_overflow_redline.docx,,24_id_paraid_overflow_blue_bold_centered_demo_id_paraid_overflow_redline.docx,24_id_paraid_overflow_blue_bold_centered_demo_id_paraid_overflow_redline.pdf,MISSING,pdf_accepted
I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you_increase_indent_demo_id_paraid_overflow,I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you,increase_indent_demo_id_paraid_overflow,both,I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you.docx,increase_indent_demo_id_paraid_overflow.docx,I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you_increase_indent_demo_id_paraid_overflow_redline.docx,,I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you_increase_indent_demo_id_paraid_overflow_redline.docx,I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you_increase_indent_demo_id_paraid_overflow_redline.pdf,MISSING,pdf_accepted
alternate_content_anchor_images,alternate_content,anchor_images,both,alternate_content.docx,anchor_images.docx,,alternate_content_anchor_images_word_redline.docx,alternate_content_anchor_images_word_redline.docx,alternate_content_anchor_images_word_redline.pdf,alternate_content_anchor_images_word_redline_accepted.pdf,
blue_bold_centered_demo_id_paraid_overflow_blue_centered_title_demo_style_default_missing,blue_bold_centered_demo_id_paraid_overflow,blue_centered_title_demo_style_default_missing,both,blue_bold_centered_demo_id_paraid_overflow.docx,blue_centered_title_demo_style_default_missing.docx,blue_bold_centered_demo_id_paraid_overflow_blue_centered_title_demo_style_default_missing_redline.docx,,blue_bold_centered_demo_id_paraid_overflow_blue_centered_title_demo_style_default_missing_redline.docx,blue_bold_centered_demo_id_paraid_overflow_blue_centered_title_demo_style_default_missing_redline.pdf,blue_bold_centered_demo_id_paraid_overflow_blue_centered_title_demo_style_default_missing_word_redline_accepted.pdf,
blue_centered_title_demo_style_default_missing_blue_italic_text_demo_id_paraid_overflow,blue_centered_title_demo_style_default_missing,blue_italic_text_demo_id_paraid_overflow,both,blue_centered_title_demo_style_default_missing.docx,blue_italic_text_demo_id_paraid_overflow.docx,blue_centered_title_demo_style_default_missing_blue_italic_text_demo_id_paraid_overflow_redline.docx,,blue_centered_title_demo_style_default_missing_blue_italic_text_demo_id_paraid_overflow_redline.docx,blue_centered_title_demo_style_default_missing_blue_italic_text_demo_id_paraid_overflow_redline.pdf,blue_centered_title_demo_style_default_missing_blue_italic_text_demo_id_paraid_overflow_word_redline_accepted.pdf,
blue_italic_text_demo_id_paraid_overflow_blue_underline_combo_demo_id_paraid_overflow,blue_italic_text_demo_id_paraid_overflow,blue_underline_combo_demo_id_paraid_overflow,both,blue_italic_text_demo_id_paraid_overflow.docx,blue_underline_combo_demo_id_paraid_overflow.docx,blue_italic_text_demo_id_paraid_overflow_blue_underline_combo_demo_id_paraid_overflow_redline.docx,,blue_italic_text_demo_id_paraid_overflow_blue_underline_combo_demo_id_paraid_overflow_redline.docx,blue_italic_text_demo_id_paraid_overflow_blue_underline_combo_demo_id_paraid_overflow_redline.pdf,blue_italic_text_demo_id_paraid_overflow_blue_underline_combo_demo_id_paraid_overflow_word_redline_accepted.pdf,
blue_underline_combo_demo_id_paraid_overflow_bold_and_italic_combo_style_default_missing,blue_underline_combo_demo_id_paraid_overflow,bold_and_italic_combo_style_default_missing,both,blue_underline_combo_demo_id_paraid_overflow.docx,bold_and_italic_combo_style_default_missing.docx,blue_underline_combo_demo_id_paraid_overflow_bold_and_italic_combo_style_default_missing_redline.docx,,blue_underline_combo_demo_id_paraid_overflow_bold_and_italic_combo_style_default_missing_redline.docx,blue_underline_combo_demo_id_paraid_overflow_bold_and_italic_combo_style_default_missing_redline.pdf,blue_underline_combo_demo_id_paraid_overflow_bold_and_italic_combo_style_default_missing_word_redline_accepted.pdf,
bold_and_italic_combo_style_default_missing_bold_and_underline_combo_id_paraid_overflow,bold_and_italic_combo_style_default_missing,bold_and_underline_combo_id_paraid_overflow,both,bold_and_italic_combo_style_default_missing.docx,bold_and_underline_combo_id_paraid_overflow.docx,bold_and_italic_combo_style_default_missing_bold_and_underline_combo_id_paraid_overflow_redline.docx,,bold_and_italic_combo_style_default_missing_bold_and_underline_combo_id_paraid_overflow_redline.docx,bold_and_italic_combo_style_default_missing_bold_and_underline_combo_id_paraid_overflow_redline.pdf,bold_and_italic_combo_style_default_missing_bold_and_underline_combo_id_paraid_overflow_word_redline_accepted.pdf,
bold_and_underline_combo_id_paraid_overflow_bold_italic_combined_demo_id_paraid_overflow,bold_and_underline_combo_id_paraid_overflow,bold_italic_combined_demo_id_paraid_overflow,both,bold_and_underline_combo_id_paraid_overflow.docx,bold_italic_combined_demo_id_paraid_overflow.docx,bold_and_underline_combo_id_paraid_overflow_bold_italic_combined_demo_id_paraid_overflow_redline.docx,,bold_and_underline_combo_id_paraid_overflow_bold_italic_combined_demo_id_paraid_overflow_redline.docx,bold_and_underline_combo_id_paraid_overflow_bold_italic_combined_demo_id_paraid_overflow_redline.pdf,bold_and_underline_combo_id_paraid_overflow_bold_italic_combined_demo_id_paraid_overflow_word_redline_accepted.pdf,
bold_italic_combined_demo_id_paraid_overflow_bold_italic_underline_demo_id_paraid_overflow,bold_italic_combined_demo_id_paraid_overflow,bold_italic_underline_demo_id_paraid_overflow,both,bold_italic_combined_demo_id_paraid_overflow.docx,bold_italic_underline_demo_id_paraid_overflow.docx,bold_italic_combined_demo_id_paraid_overflow_bold_italic_underline_demo_id_paraid_overflow_redline.docx,,bold_italic_combined_demo_id_paraid_overflow_bold_italic_underline_demo_id_paraid_overflow_redline.docx,bold_italic_combined_demo_id_paraid_overflow_bold_italic_underline_demo_id_paraid_overflow_redline.pdf,bold_italic_combined_demo_id_paraid_overflow_bold_italic_underline_demo_id_paraid_overflow_word_redline_accepted.pdf,
bold_italic_underline_demo_id_paraid_overflow_bold_red_text_combo_id_paraid_overflow,bold_italic_underline_demo_id_paraid_overflow,bold_red_text_combo_id_paraid_overflow,both,bold_italic_underline_demo_id_paraid_overflow.docx,bold_red_text_combo_id_paraid_overflow.docx,bold_italic_underline_demo_id_paraid_overflow_bold_red_text_combo_id_paraid_overflow_redline.docx,,bold_italic_underline_demo_id_paraid_overflow_bold_red_text_combo_id_paraid_overflow_redline.docx,bold_italic_underline_demo_id_paraid_overflow_bold_red_text_combo_id_paraid_overflow_redline.pdf,bold_italic_underline_demo_id_paraid_overflow_bold_red_text_combo_id_paraid_overflow_word_redline_accepted.pdf,
bold_red_text_combo_id_paraid_overflow_bold_superscript_demo_style_default_missing,bold_red_text_combo_id_paraid_overflow,bold_superscript_demo_style_default_missing,both,bold_red_text_combo_id_paraid_overflow.docx,bold_superscript_demo_style_default_missing.docx,bold_red_text_combo_id_paraid_overflow_bold_superscript_demo_style_default_missing_redline.docx,,bold_red_text_combo_id_paraid_overflow_bold_superscript_demo_style_default_missing_redline.docx,bold_red_text_combo_id_paraid_overflow_bold_superscript_demo_style_default_missing_redline.pdf,bold_red_text_combo_id_paraid_overflow_bold_superscript_demo_style_default_missing_word_redline_accepted.pdf,
