index,new_name,original_name
1,file_1.docx,green_underline_bullet_list_id_paraid_overflow.docx
2,file_2.docx,ooxml_style_link.docx
3,file_3.docx,center_aligned_bold_text_id_paraid_overflow.docx
4,file_4.docx,open_sans_font_demo_id_paraid_overflow.docx
5,file_5.docx,bold_italic_combined_demo_id_paraid_overflow.docx
6,file_6.docx,docx_lots_of_comments_addition.docx
7,file_7.docx,left_alignment_demo_id_paraid_overflow.docx
8,file_8.docx,I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you.docx
9,file_9.docx,docx_lots_of_comments_addition_removal.docx
10,file_10.docx,green_bold_text_demo_id_paraid_overflow.docx
11,file_11.docx,superscript_demo_id_paraid_overflow_2.docx
12,file_12.docx,word_tolerated_broken_media_rel.docx
13,file_13.docx,roboto_font_demo_id_paraid_overflow_2.docx
14,file_14.docx,sample_document_word_repair_of_our_output_word_repaired.docx
15,file_15.docx,verdana_italic_centered_demo_id_paraid_overflow.docx
16,file_16.docx,docx_lots_of_comments_addition_redline_addition_v_removal.docx
17,file_17.docx,project_tasks_suggesting_insertions_2.docx
18,file_18.docx,track_changes_suggesting_calibri_id_paraid_overflow.docx
19,file_19.docx,Redline_CiceroDo_v_plate_30.docx
20,file_20.docx,superscript_demo_id_paraid_overflow.docx
21,file_21.docx,bold_red_text_combo_id_paraid_overflow.docx
22,file_22.docx,sd_2517_localized_heading_styles.docx
23,file_23.docx,title_style_demo_id_paraid_overflow.docx
24,file_24.docx,support_tickets_table.docx
25,file_25.docx,red_bold_text_demo_id_paraid_overflow.docx
26,file_26.docx,product_roadmap_2026_suggesting_insertions.docx
27,file_27.docx,docx_lots_of_comments_addition_removal_redline_removal_v_addition.docx
28,file_28.docx,alternate_content.docx
29,file_29.docx,open_sans_font_demo_id_paraid_overflow_2.docx
30,file_30.docx,complex_style_attr.docx
31,file_31.docx,font_size_demo_id_paraid_overflow.docx
32,file_32.docx,bold_and_underline_combo_id_paraid_overflow.docx
33,file_33.docx,heading_1_style_demo_id_paraid_overflow.docx
34,file_34.docx,word_tolerated_misplaced_uipriority.docx
35,file_35.docx,strikethrough_text_formatting_demo_id_paraid_overflow.docx
36,file_36.docx,contract_review_suggesting_insertions.docx
37,file_37.docx,hr_onboarding_checklist_table.docx
38,file_38.docx,center_alignment_demo_id_paraid_overflow_2.docx
39,file_39.docx,support_tickets_summary_id_paraid_overflow.docx
40,file_40.docx,red_heading_demo_id_paraid_overflow.docx
41,file_41.docx,word_tolerated_misplaced_link.docx
42,file_42.docx,blue_underline_combo_demo_id_paraid_overflow.docx
43,file_43.docx,red_strikethrough_demo_style_default_missing.docx
44,file_44.docx,inventory_list_suggesting_mixed_edits.docx
45,file_45.docx,numbered_list_demo_id_paraid_overflow.docx
46,file_46.docx,times_new_roman_font_id_paraid_overflow.docx
47,file_47.docx,nested_table_rowspan.docx
48,file_48.docx,image_out_of_folder.docx
49,file_49.docx,small_font_size_demo_id_paraid_overflow.docx
50,file_50.docx,employee_directory_table_2.docx
51,file_51.docx,meeting_minutes_id_paraid_overflow.docx
52,file_52.docx,heading_3_style_demo_id_paraid_overflow.docx
53,file_53.docx,docx_lots_of_comments_addition_redline.docx
54,file_54.docx,1_5_line_spacing_id_paraid_overflow.docx
55,file_55.docx,word_tolerated_duplicate_ppr.docx
56,file_56.docx,bold_superscript_demo_style_default_missing.docx
57,file_57.docx,helvetica_font_demo_style_default_missing.docx
58,file_58.docx,meeting_agenda_table_2.docx
