pair_stem,base,next,origin,docx_source_base,docx_source_next,redline_docx,redline_docx_word,accepted_docx,pdf_redline,pdf_accepted,missing
behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc,behavior__math_all_objects_36ab389c,behavior__math_delimiter_tests_c9d034dc,superdoc_chain,behavior__math_all_objects_36ab389c.docx,behavior__math_delimiter_tests_c9d034dc.docx,behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc_redline.docx,,MISSING,behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__math_delimiter_tests_c9d034dc_behavior__math_eqarr_tests_40a1adb0,behavior__math_delimiter_tests_c9d034dc,behavior__math_eqarr_tests_40a1adb0,superdoc_chain,behavior__math_delimiter_tests_c9d034dc.docx,behavior__math_eqarr_tests_40a1adb0.docx,behavior__math_delimiter_tests_c9d034dc_behavior__math_eqarr_tests_40a1adb0_redline.docx,,MISSING,behavior__math_delimiter_tests_c9d034dc_behavior__math_eqarr_tests_40a1adb0_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__math_eqarr_tests_40a1adb0_behavior__math_func_tests_0434dd11,behavior__math_eqarr_tests_40a1adb0,behavior__math_func_tests_0434dd11,superdoc_chain,behavior__math_eqarr_tests_40a1adb0.docx,behavior__math_func_tests_0434dd11.docx,behavior__math_eqarr_tests_40a1adb0_behavior__math_func_tests_0434dd11_redline.docx,,MISSING,behavior__math_eqarr_tests_40a1adb0_behavior__math_func_tests_0434dd11_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__math_func_tests_0434dd11_behavior__math_groupchr_tests_4a4970fc,behavior__math_func_tests_0434dd11,behavior__math_groupchr_tests_4a4970fc,superdoc_chain,behavior__math_func_tests_0434dd11.docx,behavior__math_groupchr_tests_4a4970fc.docx,behavior__math_func_tests_0434dd11_behavior__math_groupchr_tests_4a4970fc_redline.docx,,MISSING,behavior__math_func_tests_0434dd11_behavior__math_groupchr_tests_4a4970fc_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__math_groupchr_tests_4a4970fc_behavior__math_limit_tests_6dc07867,behavior__math_groupchr_tests_4a4970fc,behavior__math_limit_tests_6dc07867,superdoc_chain,behavior__math_groupchr_tests_4a4970fc.docx,behavior__math_limit_tests_6dc07867.docx,behavior__math_groupchr_tests_4a4970fc_behavior__math_limit_tests_6dc07867_redline.docx,,MISSING,behavior__math_groupchr_tests_4a4970fc_behavior__math_limit_tests_6dc07867_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__math_limit_tests_6dc07867_behavior__math_matrix_tests_a3b17e15,behavior__math_limit_tests_6dc07867,behavior__math_matrix_tests_a3b17e15,superdoc_chain,behavior__math_limit_tests_6dc07867.docx,behavior__math_matrix_tests_a3b17e15.docx,behavior__math_limit_tests_6dc07867_behavior__math_matrix_tests_a3b17e15_redline.docx,,MISSING,behavior__math_limit_tests_6dc07867_behavior__math_matrix_tests_a3b17e15_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__math_matrix_tests_a3b17e15_behavior__math_nary_tests_dde91168,behavior__math_matrix_tests_a3b17e15,behavior__math_nary_tests_dde91168,superdoc_chain,behavior__math_matrix_tests_a3b17e15.docx,behavior__math_nary_tests_dde91168.docx,behavior__math_matrix_tests_a3b17e15_behavior__math_nary_tests_dde91168_redline.docx,,MISSING,behavior__math_matrix_tests_a3b17e15_behavior__math_nary_tests_dde91168_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__math_nary_tests_dde91168_behavior__math_phantom_tests_263131a8,behavior__math_nary_tests_dde91168,behavior__math_phantom_tests_263131a8,superdoc_chain,behavior__math_nary_tests_dde91168.docx,behavior__math_phantom_tests_263131a8.docx,behavior__math_nary_tests_dde91168_behavior__math_phantom_tests_263131a8_redline.docx,,MISSING,behavior__math_nary_tests_dde91168_behavior__math_phantom_tests_263131a8_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__math_phantom_tests_263131a8_behavior__math_radical_tests_4c1ce187,behavior__math_phantom_tests_263131a8,behavior__math_radical_tests_4c1ce187,superdoc_chain,behavior__math_phantom_tests_263131a8.docx,behavior__math_radical_tests_4c1ce187.docx,behavior__math_phantom_tests_263131a8_behavior__math_radical_tests_4c1ce187_redline.docx,,MISSING,behavior__math_phantom_tests_263131a8_behavior__math_radical_tests_4c1ce187_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__math_radical_tests_4c1ce187_behavior__multi_image_types_b962a2b8,behavior__math_radical_tests_4c1ce187,behavior__multi_image_types_b962a2b8,superdoc_chain,behavior__math_radical_tests_4c1ce187.docx,behavior__multi_image_types_b962a2b8.docx,behavior__math_radical_tests_4c1ce187_behavior__multi_image_types_b962a2b8_redline.docx,,MISSING,behavior__math_radical_tests_4c1ce187_behavior__multi_image_types_b962a2b8_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__multi_image_types_b962a2b8_behavior__pageref_standalone_h_7b3ab72e,behavior__multi_image_types_b962a2b8,behavior__pageref_standalone_h_7b3ab72e,superdoc_chain,behavior__multi_image_types_b962a2b8.docx,behavior__pageref_standalone_h_7b3ab72e.docx,behavior__multi_image_types_b962a2b8_behavior__pageref_standalone_h_7b3ab72e_redline.docx,,MISSING,behavior__multi_image_types_b962a2b8_behavior__pageref_standalone_h_7b3ab72e_redline.pdf,MISSING,accepted_docx; pdf_accepted
