document,score
bold_text_formatting_demo_id_paraid_overflow_2_bold_text_formatting_demo_id_paraid_overflow,79.059500
quarterly_performance_report_table_2_quarterly_performance_report_table,70.490800
q1_sales_summary_table_2_q1_sales_summary_table,70.111600
project_tasks_suggesting_insertions_q1_sales_summary_table_2,69.850200
sample_document_afterword_repaired_word_repaired_sample_document_really_repaired_word_repaired,67.792600
contract_review_suggesting_insertions_contract_review_suggesting_mixed_edits,65.080300
24_id_paraid_overflow_blue_bold_centered_demo_id_paraid_overflow,64.027400
sample_document_word_repair_of_our_output_iter2_word_repaired_sample_document_word_repair_of_our_output_word_repaired,62.704400
employee_directory_table_2_employee_directory_table,62.067900
meeting_agenda_table_2_meeting_agenda_table,62.017200
sample_document_really_repaired_word_repaired_sample_document_word_repair_of_our_output_iter2_word_repaired,60.876400
q1_sales_summary_table_quarterly_performance_report_table_2,60.234500
underline_text_demo_id_paraid_overflow_underline_text_formatting_demo_style_default_missing,60.207300
word_tolerated_orphan_comment_yellow_highlight_demo_id_paraid_overflow,59.365300
italic_text_formatting_demo_id_paraid_overflow_2_italic_text_formatting_demo_id_paraid_overflow,56.984000
heading_3_center_italic_id_paraid_overflow_heading_3_style_demo_id_paraid_overflow_2,55.084300
bold_and_italic_combo_style_default_missing_bold_and_underline_combo_id_paraid_overflow,54.297400
heading_4_right_italic_id_paraid_overflow_heading_4_style_demo_id_paraid_overflow_2,54.028300
heading_2_center_demo_id_paraid_overflow_heading_2_style_demo_id_paraid_overflow,53.823800
justify_alignment_demo_id_paraid_overflow_large_font_size_demo_id_paraid_overflow,53.728400
heading_3_style_demo_id_paraid_overflow_heading_4_right_italic_id_paraid_overflow,53.701600
italic_text_formatting_demo_id_paraid_overflow_italic_underline_combined_demo_id_paraid_overflow,53.449400
word_tolerated_duplicate_ppr_word_tolerated_misplaced_link,53.375300
strikethrough_text_demo_id_paraid_overflow_strikethrough_text_formatting_demo_id_paraid_overflow,53.274900
blue_italic_text_demo_id_paraid_overflow_blue_underline_combo_demo_id_paraid_overflow,53.204600
strikethrough_text_formatting_demo_id_paraid_overflow_subscript_demo_id_paraid_overflow,53.175900
docx_lots_of_comments_addition_redline_docx_lots_of_comments_addition_removal_redline_removal_v_addition,53.170500
bold_text_formatting_demo_id_paraid_overflow_bold_underline_combined_demo_id_paraid_overflow,53.071500
calibri_font_demo_id_paraid_overflow_calibri_heading_2_right_id_paraid_overflow,53.063200
track_changes_suggesting_calibri_id_paraid_overflow_track_changes_suggesting_center_id_paraid_overflow,53.006800
meeting_agenda_table_meeting_minutes_id_paraid_overflow,52.944000
track_changes_editing_strikethrough_id_paraid_overflow_track_changes_suggesting_bold_id_paraid_overflow,52.908600
heading_3_style_demo_id_paraid_overflow_2_heading_3_style_demo_id_paraid_overflow,52.790800
bold_and_underline_combo_id_paraid_overflow_bold_italic_combined_demo_id_paraid_overflow,52.782700
numbered_list_italic_demo_id_paraid_overflow_open_sans_bold_underline_id_paraid_overflow,52.714500
bold_underline_highlight_demo_id_paraid_overflow_book_catalog_id_paraid_overflow,52.705600
underline_text_formatting_demo_style_default_missing_verdana_bold_large_font_id_paraid_overflow,52.670200
bold_underline_combined_demo_id_paraid_overflow_bold_underline_highlight_demo_id_paraid_overflow,52.291400
subscript_demo_id_paraid_overflow_subscript_demo_style_default_missing,52.230600
superscript_demo_id_paraid_overflow_2_superscript_demo_id_paraid_overflow,52.118100
heading_4_style_demo_id_paraid_overflow_helvetica_font_demo_style_default_missing,51.957400
italic_underline_combined_demo_id_paraid_overflow_justified_underline_demo_id_paraid_overflow,51.946700
times_new_roman_bold_id_paraid_overflow_times_new_roman_font_id_paraid_overflow,51.861000
line_spacing_demo_id_paraid_overflow_marketing_strategy_2026_suggesting_insertions,51.715400
justified_underline_demo_id_paraid_overflow_justify_alignment_demo_id_paraid_overflow_2,51.481600
calibri_heading_2_right_id_paraid_overflow_center_aligned_bold_text_id_paraid_overflow,51.477900
bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2,51.346300
track_changes_suggesting_bold_id_paraid_overflow_track_changes_suggesting_calibri_id_paraid_overflow,51.342600
