converting with docxide-pdf (398 docs)
docxide-pdf converted 10/398 (0 failures)
docxide-pdf converted 20/398 (0 failures)
docxide-pdf converted 30/398 (0 failures)
docxide-pdf converted 40/398 (0 failures)
docxide-pdf converted 50/398 (0 failures)
docxide-pdf converted 60/398 (0 failures)
docxide-pdf converted 70/398 (0 failures)
docxide-pdf converted 80/398 (0 failures)
docxide-pdf converted 90/398 (0 failures)
docxide-pdf converted 100/398 (0 failures)
docxide-pdf converted 110/398 (0 failures)
docxide-pdf converted 120/398 (0 failures)
docxide-pdf converted 130/398 (0 failures)
docxide-pdf converted 140/398 (0 failures)
docxide-pdf converted 150/398 (0 failures)
docxide-pdf converted 160/398 (0 failures)
docxide-pdf converted 170/398 (0 failures)
docxide-pdf converted 180/398 (0 failures)
docxide-pdf converted 190/398 (0 failures)
docxide-pdf converted 200/398 (0 failures)
docxide-pdf converted 210/398 (0 failures)
docxide-pdf converted 220/398 (0 failures)
docxide-pdf converted 230/398 (0 failures)
docxide-pdf converted 240/398 (0 failures)
docxide-pdf converted 250/398 (0 failures)
docxide-pdf converted 260/398 (0 failures)
docxide-pdf converted 270/398 (0 failures)
docxide-pdf converted 280/398 (0 failures)
docxide-pdf converted 290/398 (0 failures)
docxide-pdf converted 300/398 (0 failures)
docxide-pdf converted 310/398 (0 failures)
docxide-pdf converted 320/398 (0 failures)
docxide-pdf converted 330/398 (0 failures)
docxide-pdf converted 340/398 (0 failures)
docxide-pdf converted 350/398 (0 failures)
docxide-pdf converted 360/398 (0 failures)
docxide-pdf converted 370/398 (0 failures)
docxide-pdf converted 380/398 (0 failures)
docxide-pdf converted 390/398 (0 failures)
docxide-pdf converted 398/398 (0 failures)
scoring docxide-pdf vs Word oracle (398 docs)
docx-to-pdf  n=398  docxide-pdf: scored=398 itt=398 mean=81.898 median=88.7505 
fail=0  → results/docx_to_pdf_no_redline_docxide_dfonts.json
