document,score
word_tolerated_orphan_comment_yellow_highlight_demo_id_paraid_overflow,59.769600
times_new_roman_bold_id_paraid_overflow_times_new_roman_font_id_paraid_overflow,58.485800
track_changes_editing_strikethrough_id_paraid_overflow_track_changes_suggesting_bold_id_paraid_overflow,58.096000
bold_text_formatting_demo_id_paraid_overflow_bold_underline_combined_demo_id_paraid_overflow,58.089300
bold_and_underline_combo_id_paraid_overflow_bold_italic_combined_demo_id_paraid_overflow,57.808500
project_proposal_suggesting_insertions_project_tasks_suggesting_insertions_2,57.805000
italic_subscript_demo_style_default_missing_italic_text_formatting_demo_id_paraid_overflow_2,57.219800
red_strikethrough_demo_style_default_missing_right_align_bold_demo_id_paraid_overflow,56.909700
italic_underline_combined_demo_id_paraid_overflow_justified_underline_demo_id_paraid_overflow,56.803800
open_sans_bold_underline_id_paraid_overflow_open_sans_font_demo_id_paraid_overflow_2,56.730500
strikethrough_bold_demo_id_paraid_overflow_strikethrough_text_demo_id_paraid_overflow,56.709700
small_font_size_demo_id_paraid_overflow_strikethrough_and_italic_combo_id_paraid_overflow,56.449000
roboto_font_demo_id_paraid_overflow_roboto_underline_demo_id_paraid_overflow,56.447600
blue_italic_text_demo_id_paraid_overflow_blue_underline_combo_demo_id_paraid_overflow,56.293000
track_changes_suggesting_bold_id_paraid_overflow_track_changes_suggesting_calibri_id_paraid_overflow,56.233700
bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2,56.108300
verdana_font_demo_id_paraid_overflow_verdana_italic_centered_demo_id_paraid_overflow,56.018400
italic_text_formatting_demo_id_paraid_overflow_italic_underline_combined_demo_id_paraid_overflow,55.902900
track_changes_suggesting_calibri_id_paraid_overflow_track_changes_suggesting_center_id_paraid_overflow,55.878200
numbered_list_demo_id_paraid_overflow_numbered_list_italic_demo_id_paraid_overflow,55.644700
underline_text_demo_id_paraid_overflow_underline_text_formatting_demo_style_default_missing,55.608100
center_aligned_bold_text_id_paraid_overflow_center_alignment_demo_id_paraid_overflow_2,55.566400
strikethrough_text_demo_id_paraid_overflow_strikethrough_text_formatting_demo_id_paraid_overflow,55.520300
center_alignment_demo_id_paraid_overflow_center_bold_demo_id_paraid_overflow,55.504500
bold_underline_combined_demo_id_paraid_overflow_bold_underline_highlight_demo_id_paraid_overflow,55.483100
bold_and_italic_combo_style_default_missing_bold_and_underline_combo_id_paraid_overflow,55.479600
bold_italic_underline_demo_id_paraid_overflow_bold_red_text_combo_id_paraid_overflow,55.376900
bold_italic_combined_demo_id_paraid_overflow_bold_italic_underline_demo_id_paraid_overflow,55.345100
center_bold_demo_id_paraid_overflow_clear_formatting_demo_id_paraid_overflow,55.150700
right_align_bold_demo_id_paraid_overflow_right_aligned_italic_demo_id_paraid_overflow,55.067100
calibri_bold_italic_demo_id_paraid_overflow_calibri_font_demo_id_paraid_overflow_2,55.028800
track_changes_editing_bullet_id_paraid_overflow_track_changes_editing_strikethrough_id_paraid_overflow,55.001300
heading_4_style_demo_id_paraid_overflow_helvetica_font_demo_style_default_missing,54.858100
yellow_highlight_demo_id_paraid_overflow_yellow_highlight_italic_demo_style_default_missing,54.841900
italic_and_underline_combo_style_default_missing_italic_subscript_demo_style_default_missing,54.753600
justified_underline_demo_id_paraid_overflow_justify_alignment_demo_id_paraid_overflow_2,54.737600
numbered_list_italic_demo_id_paraid_overflow_open_sans_bold_underline_id_paraid_overflow,54.412400
strikethrough_text_formatting_demo_id_paraid_overflow_subscript_demo_id_paraid_overflow,54.280400
bold_underline_highlight_demo_id_paraid_overflow_book_catalog_id_paraid_overflow,54.277500
right_aligned_italic_demo_id_paraid_overflow_right_alignment_demo_id_paraid_overflow_2,54.045000
left_alignment_demo_id_paraid_overflow_line_spacing_demo_id_paraid_overflow,53.709700
bold_red_text_combo_id_paraid_overflow_bold_superscript_demo_style_default_missing,53.266900
superscript_demo_id_paraid_overflow_superscript_demo_style_default_missing,53.189700
font_family_demo_id_paraid_overflow_font_size_12_demo_id_paraid_overflow,53.077000
blue_underline_combo_demo_id_paraid_overflow_bold_and_italic_combo_style_default_missing,53.072400
heading_4_right_italic_id_paraid_overflow_heading_4_style_demo_id_paraid_overflow_2,53.056900
increase_indent_demo_id_paraid_overflow_insert_link_demo_id_paraid_overflow,52.809200
bullet_list_demo_id_paraid_overflow_calibri_bold_italic_demo_id_paraid_overflow,52.805800
text_highlight_demo_style_default_missing_times_new_roman_bold_id_paraid_overflow,52.781800
green_highlight_demo_id_paraid_overflow_green_underline_bullet_list_id_paraid_overflow,52.571700
bold_text_formatting_demo_id_paraid_overflow_2_bold_text_formatting_demo_id_paraid_overflow,52.511000
green_bold_text_demo_id_paraid_overflow_green_highlight_demo_id_paraid_overflow,52.320000
italic_text_formatting_demo_id_paraid_overflow_2_italic_text_formatting_demo_id_paraid_overflow,52.315900
strikethrough_and_italic_combo_id_paraid_overflow_strikethrough_bold_demo_id_paraid_overflow,52.295700
project_plan_suggesting_insertions_project_proposal_id_paraid_overflow,52.277900
line_spacing_demo_id_paraid_overflow_marketing_strategy_2026_suggesting_insertions,52.029000
font_color_demo_style_default_missing_font_family_demo_id_paraid_overflow,51.816500
budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow,51.760000
large_font_size_demo_id_paraid_overflow_left_alignment_demo_id_paraid_overflow,51.658900
risk_assessment_product_launch_suggesting_insertions_roboto_font_demo_id_paraid_overflow_2,51.518800
heading_3_center_italic_id_paraid_overflow_heading_3_style_demo_id_paraid_overflow_2,51.464100
it_security_policy_v2_suggesting_insertions_italic_and_underline_combo_style_default_missing,51.430400
justify_alignment_demo_id_paraid_overflow_large_font_size_demo_id_paraid_overflow,51.421300
project_proposal_id_paraid_overflow_project_proposal_suggesting_insertions,51.252600
underline_text_formatting_demo_style_default_missing_verdana_bold_large_font_id_paraid_overflow,51.245100
track_changes_suggesting_center_id_paraid_overflow_track_changes_suggesting_heading_id_paraid_overflow,51.156100
justify_alignment_demo_id_paraid_overflow_2_justify_alignment_demo_id_paraid_overflow,51.122300
track_changes_suggesting_heading_id_paraid_overflow_track_changes_suggesting_italic_id_paraid_overflow,51.019000
meeting_minutes_id_paraid_overflow_meeting_minutes_suggesting_insertions,50.992200
support_tickets_summary_id_paraid_overflow_text_highlight_demo_style_default_missing,50.955100
open_sans_font_demo_id_paraid_overflow_2_open_sans_font_demo_id_paraid_overflow,50.890200
employee_review_john_smith_suggesting_insertions_font_color_blue_demo_style_default_missing,50.688700
center_alignment_demo_id_paraid_overflow_2_center_alignment_demo_id_paraid_overflow,50.608000
calibri_heading_2_right_id_paraid_overflow_center_aligned_bold_text_id_paraid_overflow,50.598400
subscript_demo_id_paraid_overflow_subscript_demo_style_default_missing,50.515200
24_id_paraid_overflow_blue_bold_centered_demo_id_paraid_overflow,50.488800
subscript_demo_style_default_missing_subtitle_style_demo_id_paraid_overflow,50.406400
training_materials_onboarding_program_suggesting_insertions_underline_text_demo_id_paraid_overflow,50.311000
heading_3_style_demo_id_paraid_overflow_heading_4_right_italic_id_paraid_overflow,50.296400
right_alignment_demo_id_paraid_overflow_risk_assessment_product_launch_suggesting_insertions,50.231400
contract_review_suggesting_mixed_edits_customer_satisfaction_survey_q4_suggesting_insertions,49.935300
open_sans_font_demo_id_paraid_overflow_product_roadmap_2026_suggesting_insertions,49.921900
heading_4_style_demo_id_paraid_overflow_2_heading_4_style_demo_id_paraid_overflow,49.849600
