rank,pair,overall_score,average_score,min_score,pages_word,pages_soffice,page_count_mismatch
1,file_154_file_155,41.09,41.09,41.09,4,1,1
2,file_195_file_196,41.62,45.14,33.43,14,13,1
3,file_8_file_9,41.81,44.86,34.71,12,12,0
4,file_114_file_115,41.95,45.54,33.57,14,13,1
5,file_99_file_100,41.95,45.55,33.57,14,13,1
6,file_184_file_185,41.97,45.57,33.57,14,13,1
7,file_73_file_74,42.10,44.68,36.10,11,11,0
8,file_26_file_27,42.13,44.72,36.10,11,11,0
9,file_5_file_6,42.15,44.74,36.10,11,11,0
10,file_52_file_53,42.58,45.36,36.10,11,11,0
11,file_15_file_16,44.09,47.52,36.10,11,11,0
12,file_170_file_171,44.15,44.87,42.46,4,4,0
13,file_130_file_131,44.77,46.32,41.14,9,9,0
14,file_7_file_8,44.78,46.34,41.14,9,9,0
15,file_133_file_134,46.08,46.71,44.62,2,2,0
16,file_174_file_175,46.10,47.38,43.11,5,5,0
17,file_169_file_170,46.13,47.49,42.95,4,4,0
18,file_69_file_70,46.28,47.48,43.48,3,3,0
19,file_27_file_28,46.71,51.15,36.36,13,12,1
20,file_176_file_177,46.78,48.69,42.34,7,7,0
21,file_175_file_176,47.08,49.83,40.68,7,7,0
22,file_77_file_78,47.56,49.05,44.09,3,3,0
23,file_82_file_83,48.30,48.30,48.30,1,1,0
24,file_53_file_54,48.46,51.76,40.75,11,11,0
25,file_74_file_75,48.55,51.89,40.75,11,11,0
26,file_143_file_144,48.56,50.19,44.75,3,3,0
27,file_78_file_79,48.59,49.95,45.43,3,3,0
28,file_6_file_7,48.75,52.17,40.75,11,11,0
29,file_188_file_189,48.83,50.54,44.85,3,3,0
30,file_9_file_10,49.33,53.01,40.75,11,11,0
31,file_146_file_147,49.45,51.14,45.50,6,6,0
32,file_16_file_17,49.55,53.32,40.75,11,11,0
33,file_197_file_198,49.90,49.90,49.90,1,1,0
34,file_14_file_15,51.05,51.92,49.02,3,3,0
35,file_83_file_84,51.12,51.12,51.12,1,1,0
36,file_131_file_132,52.62,55.44,46.02,9,9,0
37,file_58_file_59,52.81,52.81,52.81,1,1,0
38,file_198_file_199,52.91,52.91,52.91,1,1,0
39,file_46_file_47,53.10,53.10,53.10,1,1,0
40,file_19_file_20,53.76,55.55,49.59,5,5,0
41,file_28_file_29,55.66,55.66,55.66,1,1,0
42,file_164_file_165,55.81,55.81,55.81,1,1,0
43,file_141_file_142,56.50,56.50,56.50,1,1,0
44,file_163_file_164,57.04,57.04,57.04,1,1,0
45,file_139_file_140,58.27,58.27,58.27,1,1,0
46,file_140_file_141,58.45,58.45,58.45,1,1,0
47,file_94_file_95,58.57,58.57,58.57,1,1,0
48,file_100_file_101,58.62,67.82,37.15,13,13,0
49,file_3_file_4,58.67,58.67,58.67,1,1,0
50,file_112_file_113,58.86,58.86,58.86,1,1,0
51,file_59_file_60,59.14,59.14,59.14,1,1,0
52,file_196_file_197,59.31,66.99,41.39,14,14,0
53,file_95_file_96,60.43,60.43,60.43,1,1,0
54,file_18_file_19,60.82,64.79,51.56,6,6,0
55,file_55_file_56,61.13,61.13,61.13,1,1,0
56,file_30_file_31,61.14,61.14,61.14,1,1,0
57,file_120_file_121,61.44,61.44,61.44,1,1,0
58,file_115_file_116,61.48,68.55,44.98,13,13,0
59,file_41_file_42,61.55,66.05,51.05,2,2,0
