rank	overall	average	min	pages_oracle	pages_cand	page_mismatch	pair
1	41.0890	41.0890	41.0890	4	1	1	file_154_file_155
2	41.6240	45.1372	33.4265	14	13	1	file_195_file_196
3	41.8116	44.8571	34.7053	12	12	0	file_8_file_9
4	41.9512	45.5441	33.5678	14	13	1	file_114_file_115
5	41.9533	45.5471	33.5678	14	13	1	file_99_file_100
6	41.9671	45.5668	33.5678	14	13	1	file_184_file_185
7	42.1035	44.6765	36.0998	11	11	0	file_73_file_74
8	42.1349	44.7214	36.0998	11	11	0	file_26_file_27
9	42.1478	44.7399	36.0998	11	11	0	file_5_file_6
10	42.5809	45.3585	36.0998	11	11	0	file_52_file_53
11	44.0928	47.5184	36.0998	11	11	0	file_15_file_16
12	44.1499	44.8745	42.4593	4	4	0	file_170_file_171
13	44.7694	46.3231	41.1439	9	9	0	file_130_file_131
14	44.7799	46.3382	41.1439	9	9	0	file_7_file_8
15	46.0835	46.7093	44.6231	2	2	0	file_133_file_134
16	46.0981	47.3771	43.1137	5	5	0	file_174_file_175
17	46.1286	47.4908	42.9503	4	4	0	file_169_file_170
18	46.2834	47.4826	43.4850	3	3	0	file_69_file_70
19	46.7135	51.1511	36.3591	13	12	1	file_27_file_28
20	46.7823	48.6860	42.3404	7	7	0	file_176_file_177
21	47.0804	49.8255	40.6751	7	7	0	file_175_file_176
22	47.5605	49.0500	44.0850	3	3	0	file_77_file_78
23	48.3011	48.3011	48.3011	1	1	0	file_82_file_83
24	48.4579	51.7613	40.7499	11	11	0	file_53_file_54
25	48.5461	51.8873	40.7499	11	11	0	file_74_file_75
26	48.5582	50.1909	44.7487	3	3	0	file_143_file_144
27	48.5924	49.9468	45.4319	3	3	0	file_78_file_79
28	48.7453	52.1719	40.7499	11	11	0	file_6_file_7
29	48.8337	50.5419	44.8479	3	3	0	file_188_file_189
30	49.3311	53.0087	40.7499	11	11	0	file_9_file_10
31	49.4484	51.1398	45.5018	6	6	0	file_146_file_147
32	49.5482	53.3188	40.7499	11	11	0	file_16_file_17
33	49.8967	49.8967	49.8967	1	1	0	file_197_file_198
34	51.0511	51.9236	49.0152	3	3	0	file_14_file_15
35	51.1158	51.1158	51.1158	1	1	0	file_83_file_84
36	52.6155	55.4433	46.0173	9	9	0	file_131_file_132
37	52.8104	52.8104	52.8104	1	1	0	file_58_file_59
38	52.9078	52.9078	52.9078	1	1	0	file_198_file_199
39	53.0976	53.0976	53.0976	1	1	0	file_46_file_47
40	53.7647	55.5529	49.5920	5	5	0	file_19_file_20
41	55.6632	55.6632	55.6632	1	1	0	file_28_file_29
42	55.8116	55.8116	55.8116	1	1	0	file_164_file_165
43	56.5029	56.5029	56.5029	1	1	0	file_141_file_142
44	57.0443	57.0443	57.0443	1	1	0	file_163_file_164
45	58.2716	58.2716	58.2716	1	1	0	file_139_file_140
46	58.4507	58.4507	58.4507	1	1	0	file_140_file_141
47	58.5655	58.5655	58.5655	1	1	0	file_94_file_95
48	58.6194	67.8210	37.1488	13	13	0	file_100_file_101
49	58.6681	58.6681	58.6681	1	1	0	file_3_file_4
50	58.8609	58.8609	58.8609	1	1	0	file_112_file_113
51	59.1353	59.1353	59.1353	1	1	0	file_59_file_60
52	59.3083	66.9882	41.3885	14	14	0	file_196_file_197
53	60.4261	60.4261	60.4261	1	1	0	file_95_file_96
54	60.8198	64.7877	51.5614	6	6	0	file_18_file_19
55	61.1347	61.1347	61.1347	1	1	0	file_55_file_56
56	61.1410	61.1410	61.1410	1	1	0	file_30_file_31
57	61.4372	61.4372	61.4372	1	1	0	file_120_file_121
58	61.4754	68.5455	44.9787	13	13	0	file_115_file_116
59	61.5493	66.0468	51.0550	2	2	0	file_41_file_42
60	61.9176	61.9176	61.9176	1	1	0	file_113_file_114
61	62.3052	62.3052	62.3052	1	1	0	file_179_file_180
62	62.6792	62.6792	62.6792	1	1	0	file_4_file_5
63	62.7213	65.2473	56.8271	5	5	0	file_187_file_188
64	62.8560	62.8560	62.8560	1	1	0	file_101_file_102
65	62.9348	64.7007	58.8144	7	7	0	file_145_file_146
66	63.0319	63.0319	63.0319	1	1	0	file_10_file_11
67	63.3457	71.2173	44.9787	13	13	0	file_185_file_186
68	63.3651	63.3651	63.3651	1	1	0	file_144_file_145
69	63.3955	64.6866	60.3830	5	5	0	file_68_file_69
70	63.9241	63.9241	63.9241	1	1	0	file_135_file_136
71	64.0835	74.0916	40.7314	116	116	0	file_22_file_23
72	64.0851	64.0851	64.0851	1	1	0	file_45_file_46
73	64.2426	64.2426	64.2426	1	1	0	file_129_file_130
74	64.5976	66.3989	60.3945	2	2	0	file_33_file_34
75	65.1166	65.1166	65.1166	1	1	0	file_75_file_76
76	65.3708	65.3708	65.3708	1	1	0	file_119_file_120
77	65.4170	65.4170	65.4170	1	1	0	file_49_file_50
78	65.4380	65.4380	65.4380	1	1	0	file_180_file_181
79	65.4418	65.4418	65.4418	1	1	0	file_168_file_169
80	65.5245	65.5245	65.5245	1	1	0	file_103_file_104
81	65.9190	67.4976	62.2357	3	3	0	file_34_file_35
82	66.0323	66.7136	64.4426	5	5	0	file_142_file_143
83	66.1693	66.8678	64.5392	5	5	0	file_13_file_14
84	66.1718	66.1718	66.1718	1	1	0	file_183_file_184
85	66.3850	75.4874	45.1460	107	107	0	file_21_file_22
86	66.5850	66.5850	66.5850	1	1	0	file_31_file_32
87	66.7942	66.7942	66.7942	1	1	0	file_125_file_126
88	66.8397	66.8397	66.8397	1	1	0	file_148_file_149
89	67.0694	67.0694	67.0694	1	1	0	file_98_file_99
90	67.1174	67.1174	67.1174	1	1	0	file_177_file_178
91	67.2241	67.2241	67.2241	1	1	0	file_20_file_21
92	67.2828	67.2828	67.2828	1	1	0	file_121_file_122
93	67.3012	67.3012	67.3012	1	1	0	file_36_file_37
94	67.3281	67.3281	67.3281	1	1	0	file_186_file_187
95	67.4310	67.4310	67.4310	1	1	0	file_50_file_51
96	67.4392	67.4392	67.4392	1	1	0	file_189_file_190
97	67.4430	67.4430	67.4430	1	1	0	file_29_file_30
98	67.4855	68.7553	64.5228	3	3	0	file_64_file_65
99	67.5693	67.5693	67.5693	1	1	0	file_72_file_73
100	67.6273	67.6273	67.6273	1	1	0	file_97_file_98
101	67.6617	67.6617	67.6617	1	1	0	file_124_file_125
102	67.7456	67.7456	67.7456	1	1	0	file_37_file_38
103	67.7878	67.7878	67.7878	1	1	0	file_106_file_107
104	68.1395	68.1395	68.1395	1	1	0	file_109_file_110
105	68.4696	68.4696	68.4696	1	1	0	file_193_file_194
106	68.5747	68.5747	68.5747	1	1	0	file_79_file_80
